player_id,player_name,season,league,team,position,position_group,age,nation,salary_annual_gross_eur,salary_available,score_available,matches_played,starts,minutes,nineties,minutes_bucket,data_quality_note,goals,assists,shots,shots_on_target,shot_on_target_pct,key_passes,goal_creating_actions,shot_creating_actions,tackles,tackles_won,blocks,interceptions,recoveries,attack_score,shooting_score,chance_creation_score,progressive_pass_score,creative_pass_score,pressing_score,defensive_action_score,ball_winning_score,build_up_score,aerial_defense_score,goalkeeper_score,overall_role_score,role_fit_finisher,role_fit_pressing_forward,role_fit_creative_midfielder,role_fit_progressive_passer,role_fit_ball_winning_midfielder,role_fit_ball_playing_defender,role_fit_defensive_stopper,role_fit_shot_stopper,current_salary_annual_gross_eur,predicted_next_salary_annual_gross_eur,prediction_model_version,prediction_confidence,salary_gap_eur,salary_gap_pct,salary_value_score,salary_value_status,salary_value_label,salary_efficiency_score,performance_percentile_by_position,salary_percentile_by_position,salary_percentile_by_league,minutes_percentile_by_position,value_reason_summary,similarity_vector_available,similarity_base_score,style_attack_score,style_passing_score,style_defense_score,style_value_score,age_band,salary_band,minutes_band,is_u23,is_prime_age,is_veteran,is_regular_1500min
2025-2026|ligue1|rennes|quentinmerlin,Quentin Merlin,2025-2026,Ligue 1,Rennes,"DF,MF",DF,23,fr FRA,2730000,true,true,33,27,2533,28.1,regular,shot_creating_actions_imputed;recoveries_imputed,1,0,5,6,1,0,87,0.91,43,2,30,38,3.03,85.94,90.27,91.28,100,88.37,91.13,93.17,87.15,92.21,93.74,0,91.84,88.97,89.72,92.44,96.49,90.05,94.79,91.84,0,2730000,9613555,baseline_percentile_v1_pending_model_fe,75,6883555,252.14,100,undervalued,저평가,82.39,95.73,66.53,83.01,81.87,baseline percentile compares role percentile 95.73 with salary percentile 66.53; final model result is pending.,true,91.84,85.94,92.88,93.17,100,22_24,1_5m_3m,core,true,false,false,true
2025-2026|ligue1|rennes|sebastianszymanski,Sebastian Szymanski,2025-2026,Ligue 1,Rennes,MF,MF,26,pl POL,4550000,true,true,16,10,776,8.6,limited,shot_creating_actions_imputed;recoveries_imputed,1,0,3,4,1,0,66,0.91,12,3,12,10,3.03,59.12,65.65,76.35,100,68.47,37.82,50.74,54.53,73.6,54.45,0,63.69,63.69,47.86,79.5,88.12,49.86,75.8,52.8,0,4550000,1201694,baseline_percentile_v1_pending_model_fe,75,-3348306,-73.59,0,overvalued,고평가,2.26,38.95,84.83,94.12,31.36,baseline percentile compares role percentile 38.95 with salary percentile 84.83; final model result is pending.,true,63.69,59.12,80.69,50.74,0,25_27,3m_6m,rotation,false,true,false,false
2025-2026|ligue1|rennes|sekofofana,Seko Fofana,2025-2026,Ligue 1,Rennes,MF,MF,30,ci CIV,2730000,true,true,12,7,655,7.3,limited,shot_creating_actions_imputed;recoveries_imputed,1,0,0,1,1,0,83,0.91,12,-3,13,2,3.03,67.01,46.43,93.59,100,91.45,30.25,43.03,39.68,71.1,49.05,0,52.6,52.6,45.67,94.44,87,38.97,72.75,44,0,2730000,830000,baseline_percentile_v1_pending_model_fe,75,-1900000,-69.6,0,overvalued,고평가,5.19,25.62,68.09,83.01,26.64,baseline percentile compares role percentile 25.62 with salary percentile 68.09; final model result is pending.,true,52.6,67.01,94.76,43.03,0,28_30,1_5m_3m,rotation,false,false,true,false
2025-2026|ligue1|rennes|valentinrongier,Valentin Rongier,2025-2026,Ligue 1,Rennes,MF,MF,30,fr FRA,4000000,true,true,31,31,2745,30.5,regular,shot_creating_actions_imputed;recoveries_imputed,2,0,5,7,2,0,89,0.91,44,12,26,48,3.03,85.59,80.01,98.22,100,97.63,90.18,92.38,94.45,97.51,84.84,0,92.87,81.68,89.01,98.46,98.88,92.87,96.97,90.64,0,4000000,10815250,baseline_percentile_v1_pending_model_fe,75,6815250,170.38,95.16,undervalued,저평가,70.03,96.48,80.85,90.41,93.99,baseline percentile compares role percentile 96.48 with salary percentile 80.85; final model result is pending.,true,92.87,85.59,98.55,92.38,95.16,28_30,3m_6m,core,false,false,true,true
2025-2026|ligue1|rennes|yassirzabiri,Yassir Zabiri,2025-2026,Ligue 1,Rennes,MF,MF,20,ma MAR,820000,true,true,6,0,48,0.5,low_sample,shot_creating_actions_imputed;recoveries_imputed;low_minutes,0,0,0,0,0,0,0,0.91,0,1,0,1,3.03,37.74,30.49,71.67,100,62.22,5.12,24.42,34.43,61.85,24.8,0,32.66,32.66,20.4,75.44,82.83,25.06,63.94,27.04,0,820000,220000,baseline_percentile_v1_pending_model_fe,75,-600000,-73.17,2.14,overvalued,고평가,25.62,4.72,24.51,37.69,4.07,baseline percentile compares role percentile 4.72 with salary percentile 24.51; final model result is pending.,true,32.66,37.74,76.86,24.42,2.14,u21,500k_1_5m,low,true,false,false,false
2025-2026|ligue1|strasbourg|abdoulouattara,Abdoul Ouattara,2025-2026,Ligue 1,Strasbourg,"MF,DF",MF,19,fr FRA,360000,true,true,28,19,1768,19.6,rotation,shot_creating_actions_imputed;recoveries_imputed,2,0,0,2,2,0,79,0.91,27,10,11,13,3.03,70.63,57.56,88.73,100,84.98,56.14,63.78,73,86,54.75,0,66.4,61.48,62.74,90.23,93.7,66.4,84.65,63.38,0,360000,1390000,baseline_percentile_v1_pending_model_fe,75,1030000,286.11,100,undervalued,저평가,86.94,44.22,8.88,14.6,65.96,baseline percentile compares role percentile 44.22 with salary percentile 8.88; final model result is pending.,true,66.4,70.63,90.8,63.78,100,u21,under_500k,starter,true,false,false,true
2025-2026|ligue1|strasbourg|andrewomobamidele,Andrew Omobamidele,2025-2026,Ligue 1,Strasbourg,DF,DF,23,ie IRL,1270000,true,true,25,13,1357,15.1,rotation,shot_creating_actions_imputed;recoveries_imputed,1,0,0,1,1,0,82,0.91,21,4,10,4,3.03,70.58,71.06,81.36,100,75.15,39.15,49.51,54.55,77.15,52.09,0,70.92,70.92,52.22,83.85,89.72,49.71,77.09,51.54,0,1270000,1670000,baseline_percentile_v1_pending_model_fe,75,400000,31.5,71.12,fair,적정,57.73,47.33,39.07,57.73,44.67,baseline percentile compares role percentile 47.33 with salary percentile 39.07; final model result is pending.,true,70.92,70.58,84.78,49.51,71.12,22_24,500k_1_5m,rotation,true,false,false,false
2025-2026|ligue1|strasbourg|benchilwell,Ben Chilwell,2025-2026,Ligue 1,Strasbourg,"DF,MF",DF,28,eng ENG,3640000,true,true,20,19,1598,17.8,rotation,shot_creating_actions_imputed;recoveries_imputed,0,0,2,2,0,0,83,0.91,24,3,22,17,3.03,66.23,69.43,83,100,77.33,61.55,69.19,65.93,81.7,78.89,0,71.28,68.47,64.72,85.27,91.77,66.2,84.06,71.28,0,3640000,1670000,baseline_percentile_v1_pending_model_fe,75,-1970000,-54.12,4.91,overvalued,고평가,22.5,48.13,75.87,89.11,52.4,baseline percentile compares role percentile 48.13 with salary percentile 75.87; final model result is pending.,true,71.28,66.23,86.12,69.19,4.91,28_30,3m_6m,starter,false,true,false,true
2025-2026|ligue1|strasbourg|daviddatrofofana,David Datro Fofana,2025-2026,Ligue 1,Strasbourg,FW,FW,22,ci CIV,910000,true,true,5,3,171,1.9,low_sample,shot_creating_actions_imputed;recoveries_imputed;low_minutes,0,0,0,0,0,0,51,0.91,2,0,1,1,3.03,37.39,26.77,75.64,100,67.52,19.55,36.41,42.14,69.29,36.01,0,37.72,29.96,29.17,78.89,86.18,35.62,70.28,37.72,0,910000,460000,baseline_percentile_v1_pending_model_fe,75,-450000,-49.45,12.61,overvalued,고평가,27.39,14.15,33.64,46.19,18.79,baseline percentile compares role percentile 14.15 with salary percentile 33.64; final model result is pending.,true,37.72,37.39,80.11,36.41,12.61,22_24,500k_1_5m,low,true,false,false,false
2025-2026|ligue1|strasbourg|diegomoreira,Diego Moreira,2025-2026,Ligue 1,Strasbourg,MF,MF,20,be BEL,1270000,true,true,27,23,2034,22.6,regular,shot_creating_actions_imputed;recoveries_imputed,4,0,6,10,4,0,84,0.91,31,12,27,25,3.03,89.01,89.94,94.59,100,92.78,78.1,82.61,84.38,90.01,81.46,0,89.66,89.66,82.82,95.31,95.5,82.5,91.16,82.71,0,1270000,6609319,baseline_percentile_v1_pending_model_fe,75,5339319,420.42,100,undervalued,저평가,100,91.3,41.26,57.73,75.12,baseline percentile compares role percentile 91.3 with salary percentile 41.26; final model result is pending.,true,89.66,89.01,95.58,82.61,100,u21,500k_1_5m,starter,true,false,false,true
