player_id,stats_row_id,player_name,nation,team,league,league_country,position,position_group,age,matches_played,starts,minutes,nineties,salary_annual_gross_eur,salary_total_gross_eur,salary_status,salary_active,salary_loan,salary_verified,salary_available,score_available,minutes_bucket,data_quality_note,attack_score,shooting_score,chance_creation_score,progressive_pass_score,creative_pass_score,pressing_score,defensive_action_score,ball_winning_score,build_up_score,aerial_defense_score,goalkeeper_score,role_fit_finisher,role_fit_pressing_forward,role_fit_creative_midfielder,role_fit_progressive_passer,role_fit_ball_winning_midfielder,role_fit_ball_playing_defender,role_fit_defensive_stopper,role_fit_shot_stopper,overall_role_score,current_salary_annual_gross_eur,performance_percentile_by_position,salary_percentile_by_position,salary_percentile_by_league,minutes_percentile_by_position,salary_efficiency_score,predicted_next_salary_annual_gross_eur,predicted_next_salary_log,prediction_model_version,prediction_confidence,salary_gap_eur,salary_gap_pct,salary_value_score,salary_value_status,salary_value_label,value_reason_summary
2025-2026|laliga|celtavigo|ionuradu,STAT-13378,Ionu? Radu,ro ROU,Celta Vigo,La Liga,Spain,GK,GK,28,38,38,3420,38,1880000,2360000,Active,true,false,false,true,true,regular,passing_proxy_limited,58.06,69.0,27.45,50.64,19.09,65.8,59.64,59.59,62.38,62.86,95.0,65.72,62.25,30.32,55.92,60.85,58.17,60.59,95.0,60.72,1880000,38.34,56.54,59.85,100,36.8,1230000,,baseline_percentile_v1,90,-650000,-34.57,20.88,overvalued,고평가,"같은 포지션 기준 성능 percentile은 38.3, 연봉 percentile은 56.5로 성능 위치가 연봉 위치보다 낮고, baseline 예측 연봉과 현재 연봉의 차이는 -34.6%입니다. 현재 분류는 고평가이며 예측 신뢰도는 90.0/100입니다."
2025-2026|laliga|celtavigo|javirodrguez,STAT-13458,Javi Rodr?guez,es ESP,Celta Vigo,La Liga,Spain,DF,DF,22,33,28,2558,28.4,830000,1040000,Active,true,false,false,true,true,regular,passing_proxy_limited,48.72,56.98,23.41,47.17,29.51,57.15,42.93,32.65,56.07,61.79,82.09,54.5,51.78,31.48,51.18,41.15,50.12,46.02,0.0,50.12,830000,38.66,24.32,26.58,84.87,67.83,1250000,,baseline_percentile_v1,90,420000,50.6,84.62,undervalued,저평가,"같은 포지션 기준 성능 percentile은 38.7, 연봉 percentile은 24.3로 성능 위치가 연봉 위치보다 높고, baseline 예측 연봉과 현재 연봉의 차이는 50.6%입니다. 현재 분류는 저평가이며 예측 신뢰도는 90.0/100입니다."
2025-2026|laliga|celtavigo|javirueda,STAT-13494,Javi Rueda,es ESP,Celta Vigo,La Liga,Spain,MF,MF,23,26,16,1404,15.6,830000,1040000,Active,true,false,false,true,true,rotation,passing_proxy_limited,71.63,77.45,54.32,55.92,49.67,56.62,34.39,35.11,56.81,61.13,62.16,75.7,56.68,53.09,56.32,39.16,50.94,42.59,0.0,53.09,830000,57.24,26.76,26.58,59.5,81.43,2000000,,baseline_percentile_v1,90,1170000,140.96,100,undervalued,저평가,"같은 포지션 기준 성능 percentile은 57.2, 연봉 percentile은 26.8로 성능 위치가 연봉 위치보다 높고, baseline 예측 연봉과 현재 연봉의 차이는 141.0%입니다. 현재 분류는 저평가이며 예측 신뢰도는 90.0/100입니다."
2025-2026|laliga|celtavigo|joneselabdellaoui,STAT-11213,Jones El-Abdellaoui,ma MAR,Celta Vigo,La Liga,Spain,"MF,FW",MF,19,22,4,681,7.6,520000,650000,Active,true,false,false,true,true,limited,passing_proxy_limited,70.67,72.22,70.31,50.99,76.21,36.21,34.07,38.66,46.37,44.59,38.28,71.75,46.12,67.55,48.91,36.56,44.68,38.37,0.0,46.12,520000,30.32,14.07,14.34,35.57,64.81,930000,,baseline_percentile_v1,80,410000,78.85,95.56,undervalued,저평가,"같은 포지션 기준 성능 percentile은 30.3, 연봉 percentile은 14.1로 성능 위치가 연봉 위치보다 높고, baseline 예측 연봉과 현재 연봉의 차이는 78.8%입니다. 현재 분류는 저평가이며 예측 신뢰도는 80.0/100입니다."
2025-2026|laliga|celtavigo|josephaidoo,STAT-11263,Joseph Aidoo,gh GHA,Celta Vigo,La Liga,Spain,DF,DF,29,8,7,639,7.1,1560000,1960000,Active,true,false,false,true,true,limited,passing_proxy_limited,60.19,55.61,70.36,51.27,73.97,36.5,39.11,52.29,47.0,32.39,33.48,56.98,44.13,66.85,49.35,44.52,46.31,40.39,0.0,46.31,1560000,23.65,47.1,51.43,29.41,24.49,830000,,baseline_percentile_v1,80,-730000,-46.79,11.36,overvalued,고평가,"같은 포지션 기준 성능 percentile은 23.6, 연봉 percentile은 47.1로 성능 위치가 연봉 위치보다 낮고, baseline 예측 연봉과 현재 연봉의 차이는 -46.8%입니다. 현재 분류는 고평가이며 예측 신뢰도는 80.0/100입니다."
2025-2026|laliga|celtavigo|lvaronez,STAT-13157,?lvaro N??ez,es ESP,Celta Vigo,La Liga,Spain,"DF,MF",DF,25,6,5,328,3.6,1460000,1840000,Active,true,false,false,true,true,limited,passing_proxy_limited,61.18,55.61,74.06,48.31,77.42,44.54,54.33,38.06,43.52,57.93,26.7,57.28,51.49,68.8,46.15,45.05,47.66,51.34,0.0,51.34,1460000,43.1,43.24,49.33,20.05,46.87,1460000,,baseline_percentile_v1,80,0,0,49.91,fair,적정,"같은 포지션 기준 성능 percentile은 43.1, 연봉 percentile은 43.2로 성능 위치가 연봉 위치보다 낮고, baseline 예측 연봉과 현재 연봉의 차이는 0.0%입니다. 현재 분류는 적정이며 예측 신뢰도는 80.0/100입니다."
2025-2026|laliga|celtavigo|manufernndez,STAT-12089,Manu Fern?ndez,es ESP,Celta Vigo,La Liga,Spain,DF,DF,24,14,9,758,8.4,250000,313000,Active,true,false,false,true,true,limited,passing_proxy_limited,58.43,55.61,63.73,53.51,67.78,46.69,52.35,46.6,49.55,58.88,37.47,56.46,51.34,62.59,51.73,48.63,51.44,52.87,0.0,51.73,250000,45.02,3.86,4.4,32.89,89.45,1502118,,baseline_percentile_v1,85,1252118,500.85,100,undervalued,저평가,"같은 포지션 기준 성능 percentile은 45.0, 연봉 percentile은 3.9로 성능 위치가 연봉 위치보다 높고, baseline 예측 연봉과 현재 연봉의 차이는 500.8%입니다. 현재 분류는 저평가이며 예측 신뢰도는 85.0/100입니다."
2025-2026|laliga|celtavigo|marcosalonso,STAT-11299,Marcos Alonso,es ESP,Celta Vigo,La Liga,Spain,DF,DF,34,32,31,2768,30.8,4170000,5210000,Active,true,false,false,true,true,regular,passing_proxy_limited,48.32,57.97,19.64,36.26,27.25,33.61,35.89,32.89,50.38,49.04,86.87,55.07,38.48,26.46,42.61,34.08,42.52,39.09,0.0,39.09,4170000,6.72,81.08,86.62,89.92,0,350000,,baseline_percentile_v1,90,-3820000,-91.61,0,overvalued,고평가,"같은 포지션 기준 성능 percentile은 6.7, 연봉 percentile은 81.1로 성능 위치가 연봉 위치보다 낮고, baseline 예측 연봉과 현재 연봉의 차이는 -91.6%입니다. 현재 분류는 고평가이며 예측 신뢰도는 90.0/100입니다."
2025-2026|laliga|celtavigo|matasvecino,STAT-13905,Mat?as Vecino,uy URU,Celta Vigo,La Liga,Spain,MF,MF,33,6,2,135,1.5,2920000,3650000,Active,true,false,false,true,true,low_sample,low_minutes;passing_proxy_limited,47.7,36.2,77.47,74.25,78.14,74.59,70.9,93.11,60.06,42.26,20.54,39.65,65.78,76.9,67.86,81.63,67.03,67.86,0.0,67.86,2920000,96.12,70.29,73.8,13.5,72.18,9613555,,baseline_percentile_v1,60,6693555,229.23,100,undervalued,저평가,"같은 포지션 기준 성능 percentile은 96.1, 연봉 percentile은 70.3로 성능 위치가 연봉 위치보다 높고, baseline 예측 연봉과 현재 연봉의 차이는 229.2%입니다. 현재 분류는 저평가이며 예측 신뢰도는 60.0/100입니다."
2025-2026|laliga|celtavigo|miguelromn,STAT-13470,Miguel Rom?n,es ESP,Celta Vigo,La Liga,Spain,MF,MF,22,19,14,1311,14.6,250000,313000,Active,true,false,false,true,true,rotation,passing_proxy_limited,44.89,43.04,48.96,57.07,53.21,42.38,34.52,40.8,56.86,41.83,55.66,43.59,41.56,52.48,56.98,38.92,51.34,38.28,0.0,43.59,250000,21.75,5.65,4.4,56.67,66.77,740000,,baseline_percentile_v1,90,490000,196,95.47,undervalued,저평가,"같은 포지션 기준 성능 percentile은 21.8, 연봉 percentile은 5.7로 성능 위치가 연봉 위치보다 높고, baseline 예측 연봉과 현재 연봉의 차이는 196.0%입니다. 현재 분류는 저평가이며 예측 신뢰도는 90.0/100입니다."
2025-2026|laliga|celtavigo|mihailoristi,STAT-13441,Mihailo Risti?,rs SRB,Celta Vigo,La Liga,Spain,"MF,DF",MF,29,5,4,253,2.8,1040000,1310000,Active,true,false,false,true,true,low_sample,low_minutes;passing_proxy_limited,46.82,36.2,74.19,47.33,75.08,27.91,40.43,46.19,43.43,30.74,25.32,39.39,36.09,67.79,45.58,40.52,43.85,38.96,0.0,40.52,1040000,14.23,34.49,36.71,18.76,26.62,550000,,baseline_percentile_v1,60,-490000,-47.12,13.27,overvalued,고평가,"같은 포지션 기준 성능 percentile은 14.2, 연봉 percentile은 34.5로 성능 위치가 연봉 위치보다 낮고, baseline 예측 연봉과 현재 연봉의 차이는 -47.1%입니다. 현재 분류는 고평가이며 예측 신뢰도는 60.0/100입니다."
2025-2026|laliga|celtavigo|pablodurn,STAT-11986,Pablo Dur?n,es ESP,Celta Vigo,La Liga,Spain,"FW,MF",FW,24,30,17,1425,15.8,1040000,1310000,Active,true,false,false,true,true,rotation,passing_proxy_limited,41.02,42.71,31.86,40.77,31.67,36.57,56.81,68.35,50.39,66.18,77.44,42.2,41.95,34.02,45.1,57.95,49.11,62.51,0.0,45.1,1040000,23.56,37.13,36.71,73.95,38.82,660000,,baseline_percentile_v1,90,-380000,-36.54,22.91,overvalued,고평가,"같은 포지션 기준 성능 percentile은 23.6, 연봉 percentile은 37.1로 성능 위치가 연봉 위치보다 낮고, baseline 예측 연봉과 현재 연봉의 차이는 -36.5%입니다. 현재 분류는 고평가이며 예측 신뢰도는 90.0/100입니다."
2025-2026|laliga|celtavigo|scarmingueza,STAT-12978,?scar Mingueza,es ESP,Celta Vigo,La Liga,Spain,MF,MF,26,34,21,1968,21.9,1150000,1440000,Active,true,false,false,true,true,rotation,passing_proxy_limited,49.63,54.07,34.41,36.37,31.61,29.56,42.8,36.92,46.61,50.28,72.6,52.74,38.23,33.92,40.98,37.51,42.59,43.57,0.0,40.98,1150000,15.04,38.4,37.48,76.31,29.27,560000,,baseline_percentile_v1,90,-590000,-51.3,9.16,overvalued,고평가,"같은 포지션 기준 성능 percentile은 15.0, 연봉 percentile은 38.4로 성능 위치가 연봉 위치보다 낮고, baseline 예측 연봉과 현재 연봉의 차이는 -51.3%입니다. 현재 분류는 고평가이며 예측 신뢰도는 90.0/100입니다."
