salary_target_eur,fe_log_salary_target_eur,minutes,nineties,matches,starts,fe_start_rate,fe_is_regular_1500min,goals,assists,fe_goal_contribution,fe_goal_contribution_per90,stats_age,fe_age_squared,fe_is_prime_age_24_29,fe_is_young_prospect_u23,fe_salary_vs_league_mean,fe_salary_vs_club_mean,fe_club_mean_salary_target_eur,fe_league_mean_salary_target_eur,pos_DF,pos_FW,pos_GK,pos_MF
13000000.0,16.38046,1219.0,13.5,21.0,16.0,0.761905,0.0,8.0,0.0,8.0,0.592593,30.0,900.0,0.0,0.0,5.465334,1.35524,9592400.0,2378628.738298,0.0,0.0,0.0,1.0
1890000.0,14.452088,90.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,1296.0,0.0,0.0,0.794575,0.197031,9592400.0,2378628.738298,0.0,0.0,1.0,0.0
2830000.0,14.855788,1302.0,14.5,26.0,14.0,0.538462,0.0,3.0,0.0,3.0,0.206897,20.0,400.0,0.0,1.0,1.189761,0.295025,9592400.0,2378628.738298,1.0,0.0,0.0,0.0
280000.0,12.542548,30.0,0.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,256.0,0.0,1.0,0.117715,0.02919,9592400.0,2378628.738298,0.0,1.0,0.0,0.0
1090000.0,13.901689,384.0,4.3,9.0,4.0,0.444444,0.0,1.0,0.0,1.0,0.232558,20.0,400.0,0.0,1.0,0.458247,0.209067,5213636.363636,2378628.738298,1.0,0.0,0.0,0.0
750000.0,13.52783,16.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,361.0,0.0,1.0,0.315308,0.143854,5213636.363636,2378628.738298,1.0,0.0,0.0,0.0
6000000.0,15.60727,919.0,10.2,28.0,8.0,0.285714,0.0,2.0,0.0,2.0,0.196078,21.0,441.0,0.0,1.0,2.522462,1.150828,5213636.363636,2378628.738298,0.0,0.0,0.0,1.0
470000.0,13.06049,96.0,1.1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,361.0,0.0,1.0,0.197593,0.251498,1868800.0,2378628.738298,0.0,1.0,0.0,0.0
3020000.0,14.920768,2454.0,27.3,33.0,27.0,0.818182,1.0,2.0,0.0,2.0,0.07326,23.0,529.0,0.0,1.0,1.269639,0.57925,5213636.363636,2378628.738298,0.0,0.0,0.0,1.0
6420000.0,15.674929,621.0,6.9,9.0,7.0,0.777778,0.0,3.0,0.0,3.0,0.434783,31.0,961.0,0.0,0.0,2.699034,1.231386,5213636.363636,2378628.738298,1.0,0.0,0.0,0.0
4150000.0,15.238619,817.0,9.1,28.0,7.0,0.25,0.0,2.0,0.0,2.0,0.21978,23.0,529.0,0.0,1.0,1.744703,0.79599,5213636.363636,2378628.738298,0.0,1.0,0.0,0.0
8020000.0,15.897449,2176.0,24.2,29.0,25.0,0.862069,1.0,2.0,0.0,2.0,0.082645,24.0,576.0,1.0,0.0,3.371691,1.538274,5213636.363636,2378628.738298,0.0,0.0,0.0,1.0
380000.0,12.847929,131.0,1.5,4.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,20.0,400.0,0.0,1.0,0.159756,0.072886,5213636.363636,2378628.738298,1.0,0.0,0.0,0.0
9060000.0,16.01938,3060.0,34.0,34.0,34.0,1.0,1.0,0.0,22.0,22.0,0.647059,27.0,729.0,1.0,0.0,3.808917,1.737751,5213636.363636,2378628.738298,0.0,0.0,1.0,0.0
4720000.0,15.36732,1786.0,19.8,32.0,20.0,0.625,1.0,0.0,0.0,0.0,0.0,19.0,361.0,0.0,1.0,1.984337,0.905318,5213636.363636,2378628.738298,0.0,0.0,0.0,1.0
7000000.0,15.761421,1606.0,17.8,29.0,17.0,0.586207,1.0,7.0,0.0,7.0,0.393258,29.0,841.0,1.0,0.0,2.942872,1.342633,5213636.363636,2378628.738298,0.0,0.0,0.0,1.0
5000000.0,15.424949,2266.0,25.2,31.0,26.0,0.83871,1.0,0.0,0.0,0.0,0.0,27.0,729.0,1.0,0.0,2.102051,0.959024,5213636.363636,2378628.738298,0.0,0.0,0.0,1.0
5000000.0,15.424949,1195.0,13.3,28.0,15.0,0.535714,0.0,7.0,0.0,7.0,0.526316,23.0,529.0,0.0,1.0,2.102051,0.959024,5213636.363636,2378628.738298,0.0,0.0,0.0,1.0
7510000.0,15.831746,1817.0,20.2,26.0,21.0,0.807692,1.0,1.0,0.0,1.0,0.049505,31.0,961.0,0.0,0.0,3.157281,1.440453,5213636.363636,2378628.738298,0.0,0.0,0.0,1.0
4150000.0,15.238619,2026.0,22.5,32.0,24.0,0.75,1.0,9.0,0.0,9.0,0.4,22.0,484.0,0.0,1.0,1.744703,0.79599,5213636.363636,2378628.738298,0.0,0.0,0.0,1.0
4720000.0,15.36732,2520.0,28.0,28.0,28.0,1.0,1.0,5.0,0.0,5.0,0.178571,25.0,625.0,1.0,0.0,1.984337,0.905318,5213636.363636,2378628.738298,1.0,0.0,0.0,0.0
10000000.0,16.118096,486.0,5.4,11.0,7.0,0.636364,0.0,0.0,0.0,0.0,0.0,29.0,841.0,1.0,0.0,4.204103,1.918047,5213636.363636,2378628.738298,1.0,0.0,0.0,0.0
5407625.0,15.503321,2249.0,25.0,30.0,25.0,0.833333,1.0,1.0,0.0,1.0,0.04,34.0,1156.0,0.0,0.0,1.152439,1.828255,2957806.909091,4692329.188912,0.0,0.0,0.0,1.0
4510000.0,15.321808,1530.0,17.0,21.0,15.0,0.714286,1.0,5.0,0.0,5.0,0.294118,30.0,900.0,0.0,0.0,1.89605,0.865039,5213636.363636,2378628.738298,1.0,0.0,0.0,0.0
3770000.0,15.142586,81.0,0.9,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,729.0,1.0,0.0,1.584947,0.723104,5213636.363636,2378628.738298,0.0,0.0,0.0,1.0
9430000.0,16.059407,2337.0,26.0,33.0,27.0,0.818182,1.0,17.0,0.0,17.0,0.653846,29.0,841.0,1.0,0.0,3.964469,1.808718,5213636.363636,2378628.738298,0.0,1.0,0.0,0.0
5280000.0,15.479437,2880.0,32.0,32.0,32.0,1.0,1.0,2.0,0.0,2.0,0.0625,29.0,841.0,1.0,0.0,2.219766,1.012729,5213636.363636,2378628.738298,1.0,0.0,0.0,0.0
4720000.0,15.36732,997.0,11.1,19.0,11.0,0.578947,0.0,2.0,0.0,2.0,0.18018,23.0,529.0,0.0,1.0,1.984337,0.905318,5213636.363636,2378628.738298,0.0,0.0,0.0,1.0
940000.0,13.753636,1326.0,14.7,28.0,12.0,0.428571,0.0,4.0,0.0,4.0,0.272109,23.0,529.0,0.0,1.0,0.395186,0.429346,2189376.5,2378628.738298,0.0,0.0,0.0,1.0
1802542.0,14.404709,1513.0,16.8,28.0,17.0,0.607143,1.0,6.0,0.0,6.0,0.357143,23.0,529.0,0.0,1.0,0.757807,0.823313,2189376.5,2378628.738298,0.0,1.0,0.0,0.0
4150000.0,15.238619,2141.0,23.8,24.0,24.0,1.0,1.0,1.0,0.0,1.0,0.042017,25.0,625.0,1.0,0.0,1.744703,1.895517,2189376.5,2378628.738298,1.0,0.0,0.0,0.0
850000.0,13.652993,1678.0,18.6,24.0,18.0,0.75,1.0,0.0,0.0,0.0,0.0,22.0,484.0,0.0,1.0,0.357349,0.388238,2189376.5,2378628.738298,1.0,0.0,0.0,0.0
330000.0,12.706851,144.0,1.6,4.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,28.0,784.0,1.0,0.0,0.138735,0.150728,2189376.5,2378628.738298,1.0,0.0,0.0,0.0
380000.0,12.847929,586.0,6.5,17.0,6.0,0.352941,0.0,2.0,0.0,2.0,0.307692,20.0,400.0,0.0,1.0,0.159756,0.173565,2189376.5,2378628.738298,0.0,0.0,0.0,1.0
1320000.0,14.093143,1156.0,12.8,21.0,15.0,0.714286,0.0,8.0,0.0,8.0,0.625,19.0,361.0,0.0,1.0,0.554942,0.602911,2189376.5,2378628.738298,0.0,0.0,0.0,1.0
660000.0,13.399997,75.0,0.8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,361.0,0.0,1.0,0.277471,0.301456,2189376.5,2378628.738298,1.0,0.0,0.0,0.0
3400000.0,15.039286,1444.0,16.0,25.0,16.0,0.64,0.0,0.0,0.0,0.0,0.0,30.0,900.0,0.0,0.0,1.429395,1.552954,2189376.5,2378628.738298,0.0,0.0,0.0,1.0
1890000.0,14.452088,1246.0,13.8,24.0,14.0,0.583333,0.0,5.0,0.0,5.0,0.362319,22.0,484.0,0.0,1.0,1.05777,0.920787,2052592.592593,1786777.246187,0.0,1.0,0.0,0.0
1890000.0,14.452088,1792.0,19.9,28.0,21.0,0.75,1.0,2.0,0.0,2.0,0.100503,22.0,484.0,0.0,1.0,0.794575,0.863259,2189376.5,2378628.738298,0.0,0.0,0.0,1.0
2830000.0,14.855788,1812.0,20.1,25.0,21.0,0.84,1.0,2.0,0.0,2.0,0.099502,21.0,441.0,0.0,1.0,1.189761,1.292605,2189376.5,2378628.738298,0.0,0.0,0.0,1.0
1130000.0,13.937729,1331.0,14.8,27.0,15.0,0.555556,0.0,3.0,0.0,3.0,0.202703,20.0,400.0,0.0,1.0,0.475064,0.516129,2189376.5,2378628.738298,0.0,0.0,0.0,1.0
470000.0,13.06049,62.0,0.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,625.0,1.0,0.0,0.197593,0.214673,2189376.5,2378628.738298,0.0,1.0,0.0,0.0
4910000.0,15.406785,1336.0,14.8,22.0,15.0,0.681818,0.0,13.0,0.0,13.0,0.878378,25.0,625.0,1.0,0.0,2.064215,2.242648,2189376.5,2378628.738298,0.0,1.0,0.0,0.0
570000.0,13.253393,1084.0,12.0,13.0,13.0,1.0,0.0,0.0,3.0,3.0,0.25,22.0,484.0,0.0,1.0,0.239634,0.260348,2189376.5,2378628.738298,0.0,0.0,1.0,0.0
380000.0,12.847929,65.0,0.7,5.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,17.0,289.0,0.0,1.0,0.159756,0.173565,2189376.5,2378628.738298,0.0,0.0,0.0,1.0
3210000.0,14.981782,716.0,8.0,15.0,8.0,0.533333,0.0,2.0,0.0,2.0,0.25,29.0,841.0,1.0,0.0,1.349517,1.466171,2189376.5,2378628.738298,0.0,0.0,0.0,1.0
3510000.0,15.071127,886.0,9.8,21.0,8.0,0.380952,0.0,0.0,0.0,0.0,0.0,33.0,1089.0,0.0,0.0,1.47564,1.603196,2189376.5,2378628.738298,0.0,0.0,0.0,1.0
3770000.0,15.142586,1976.0,22.0,22.0,21.0,0.954545,1.0,0.0,8.0,8.0,0.363636,30.0,900.0,0.0,0.0,1.584947,1.721951,2189376.5,2378628.738298,0.0,0.0,1.0,0.0
3400000.0,15.039286,139.0,1.5,6.0,1.0,0.166667,0.0,1.0,0.0,1.0,0.666667,31.0,961.0,0.0,0.0,1.429395,1.552954,2189376.5,2378628.738298,0.0,1.0,0.0,0.0
2260000.0,14.630876,2656.0,29.5,33.0,29.0,0.878788,1.0,4.0,0.0,4.0,0.135593,22.0,484.0,0.0,1.0,0.950127,1.032257,2189376.5,2378628.738298,0.0,0.0,0.0,1.0
940000.0,13.753636,1500.0,16.7,23.0,16.0,0.695652,1.0,1.0,0.0,1.0,0.05988,21.0,441.0,0.0,1.0,0.395186,0.429346,2189376.5,2378628.738298,1.0,0.0,0.0,0.0
470000.0,13.06049,1089.0,12.1,24.0,12.0,0.5,0.0,1.0,0.0,1.0,0.082645,20.0,400.0,0.0,1.0,0.197593,0.214673,2189376.5,2378628.738298,0.0,0.0,0.0,1.0
4720000.0,15.36732,1538.0,17.1,22.0,19.0,0.863636,1.0,2.0,0.0,2.0,0.116959,28.0,784.0,1.0,0.0,1.984337,2.155865,2189376.5,2378628.738298,1.0,0.0,0.0,0.0
5660000.0,15.548935,2364.0,26.3,31.0,28.0,0.903226,1.0,5.0,0.0,5.0,0.190114,27.0,729.0,1.0,0.0,2.379522,2.585211,2189376.5,2378628.738298,0.0,0.0,0.0,1.0
5660000.0,15.548935,2833.0,31.5,32.0,32.0,1.0,1.0,3.0,0.0,3.0,0.095238,29.0,841.0,1.0,0.0,2.379522,2.585211,2189376.5,2378628.738298,1.0,0.0,0.0,0.0
940000.0,13.753636,11.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1225.0,0.0,0.0,0.395186,0.429346,2189376.5,2378628.738298,1.0,0.0,0.0,0.0
750000.0,13.52783,133.0,1.5,5.0,2.0,0.4,0.0,1.0,0.0,1.0,0.666667,21.0,441.0,0.0,1.0,0.315308,0.342563,2189376.5,2378628.738298,0.0,1.0,0.0,0.0
